Pixels, Value
133,3, 55552
133,4, 55552
133,5, 55552
133,6, 55552
133,7, 55552
133,8, 55552
133,9, 55552
134, 55552
134,1, 55552
134,2, 55552
134,3, 55488
134,4, 55488
134,5, 55488
134,6, 55488
134,7, 55488
134,8, 55488
134,9, 55488
135, 55488
135,1, 55488
135,2, 55488
135,3, 55424
135,4, 55424
135,5, 55424
135,6, 55424
135,7, 55424
135,8, 55424
135,9, 55424
136, 55424
136,1, 55424
136,2, 55424
136,3, 56128
136,4, 56128
136,5, 56128
136,6, 56128
136,7, 56128
136,8, 56128
136,9, 56128
137, 56128
137,1, 56128
137,2, 56128
137,3, 55488
137,4, 55488
137,5, 55488
137,6, 55488
137,7, 55488
137,8, 55488
137,9, 55488
138, 55488
138,1, 55488
138,2, 55488
138,3, 55616
138,4, 55616
138,5, 55616
138,6, 55616
138,7, 55616
138,8, 55616
138,9, 55616
139, 55616
139,1, 55616
139,2, 55616
139,3, 56192
139,4, 56192
139,5, 56192
139,6, 56192
139,7, 56192
139,8, 56192
139,9, 56192
140, 56192
140,1, 56192
140,2, 56192
140,3, 56704
140,4, 56704
140,5, 56704
140,6, 56704
140,7, 56704
140,8, 56704
140,9, 56704
141, 56704
141,1, 56704
141,2, 56704
141,3, 56896
141,4, 56896
141,5, 56896
141,6, 56896
141,7, 56896
141,8, 56896
141,9, 56896
142, 56896
142,1, 56896
142,2, 56896
142,3, 56512
142,4, 56512
142,5, 56512
142,6, 56512
142,7, 56512
142,8, 56512
142,9, 56512
143, 56512
143,1, 56512
143,2, 56512
143,3, 56960
143,4, 56960
143,5, 56960
143,6, 56960
143,7, 56960
143,8, 56960
143,9, 56960
144, 56960
144,1, 56960
144,2, 56960
144,3, 56256
144,4, 56256
144,5, 56256
144,6, 56256
144,7, 56256
144,8, 56256
144,9, 56256
145, 56256
145,1, 56256
145,2, 56256
145,3, 57408
145,4, 57408
145,5, 57408
145,6, 57408
145,7, 57408
145,8, 57408
145,9, 57408
146, 57408
146,1, 57408
146,2, 57408
146,3, 56320
146,4, 56320
146,5, 56320
146,6, 56320
146,7, 56320
146,8, 56320
146,9, 56320
147, 56320
147,1, 56320
147,2, 56320
147,3, 55488
147,4, 55488
147,5, 55488
147,6, 55488
147,7, 55488
147,8, 55488
147,9, 55488
148, 55488
148,1, 55488
148,2, 55488
148,3, 56000
148,4, 56000
148,5, 56000
148,6, 56000
148,7, 56000
148,8, 56000
148,9, 56000
149, 56000
149,1, 56000
149,2, 56000
149,3, 56832
149,4, 56832
149,5, 56832
149,6, 56832
149,7, 56832
149,8, 56832
149,9, 56832
150, 56832
150,1, 56832
150,2, 56832
150,3, 56256
150,4, 56256
150,5, 56256
150,6, 56256
150,7, 56256
150,8, 56256
150,9, 56256
151, 56256
151,1, 56256
151,2, 56256
151,3, 55616
151,4, 55616
151,5, 55616
151,6, 55616
151,7, 55616
151,8, 55616
151,9, 55616
152, 55616
152,1, 55616
152,2, 55616
152,3, 56448
152,4, 56448
152,5, 56448
152,6, 56448
152,7, 56448
152,8, 56448
152,9, 56448
153, 56448
153,1, 56448
153,2, 56448
153,3, 56192
153,4, 56192
153,5, 56192
153,6, 56192
153,7, 56192
153,8, 56192
153,9, 56192
154, 56192
154,1, 56192
154,2, 56192
154,3, 56960
154,4, 56960
154,5, 56960
154,6, 56960
154,7, 56960
154,8, 56960
154,9, 56960
155, 56960
155,1, 56960
155,2, 56960
155,3, 56000
155,4, 56000
155,5, 56000
155,6, 56000
155,7, 56000
155,8, 56000
155,9, 56000
156, 56000
156,1, 56000
156,2, 56000
156,3, 56704
156,4, 56704
156,5, 56704
156,6, 56704
156,7, 56704
156,8, 56704
156,9, 56704
157, 56704
157,1, 56704
157,2, 56704
157,3, 55808
157,4, 55808
157,5, 55808
157,6, 55808
157,7, 55808
157,8, 55808
157,9, 55808
158, 55808
158,1, 55808
158,2, 55808
158,3, 56512
158,4, 56512
158,5, 56512
158,6, 56512
158,7, 56512
158,8, 56512
158,9, 56512
159, 56512
159,1, 56512
159,2, 56512
159,3, 56960
159,4, 56960
159,5, 56960
159,6, 56960
159,7, 56960
159,8, 56960
159,9, 56960
160, 56960
160,1, 56960
160,2, 56960
160,3, 56256
160,4, 56256
160,5, 56256
160,6, 56256
160,7, 56256
160,8, 56256
160,9, 56256
161, 56256
161,1, 56256
161,2, 56256
161,3, 56576
161,4, 56576
161,5, 56576
161,6, 56576
161,7, 56576
161,8, 56576
161,9, 56576
162, 56576
162,1, 56576
162,2, 56576
162,3, 55744
162,4, 55744
162,5, 55744
162,6, 55744
162,7, 55744
162,8, 55744
162,9, 55744
163, 55744
163,1, 55744
163,2, 55744
163,3, 56768
163,4, 56768
163,5, 56768
163,6, 56768
163,7, 56768
163,8, 56768
163,9, 56768
164, 56768
164,1, 56768
164,2, 56768
164,3, 55360
164,4, 55360
164,5, 55360
164,6, 55360
164,7, 55360
164,8, 55360
164,9, 55360
165, 55360
165,1, 55360
165,2, 55360
165,3, 56512
165,4, 56512
165,5, 56512
165,6, 56512
165,7, 56512
165,8, 56512
165,9, 56512
166, 56512
166,1, 56512
166,2, 56512
166,3, 57472
166,4, 57472
166,5, 57472
166,6, 57472
166,7, 57472
166,8, 57472
166,9, 57472
167, 57472
167,1, 57472
167,2, 57472
167,3, 57344
167,4, 57344
167,5, 57344
167,6, 57344
167,7, 57344
167,8, 57344
167,9, 57344
168, 57344
168,1, 57344
168,2, 57344
168,3, 56384
168,4, 56384
168,5, 56384
168,6, 56384
168,7, 56384
168,8, 56384
168,9, 56384
169, 56384
169,1, 56384
169,2, 56384
169,3, 56384
169,4, 56384
169,5, 56384
169,6, 56384
169,7, 56384
169,8, 56384
169,9, 56384
170, 56384
170,1, 56384
170,2, 56384
170,3, 55808
170,4, 55808
170,5, 55808
170,6, 55808
170,7, 55808
170,8, 55808
170,9, 55808
