Pixels, Value
0, 4800
157,1, 55488
157,2, 55488
157,3, 55488
157,4, 55488
157,5, 56896
157,6, 56896
157,7, 56896
157,8, 56896
157,9, 56896
158, 56896
158,1, 56896
158,2, 56896
158,3, 56896
158,4, 56896
158,5, 55744
158,6, 55744
158,7, 55744
158,8, 55744
158,9, 55744
159, 55744
159,1, 55744
159,2, 55744
159,3, 55744
159,4, 55744
159,5, 55616
159,6, 55616
159,7, 55616
159,8, 55616
159,9, 55616
160, 55616
160,1, 55616
160,2, 55616
160,3, 55616
160,4, 55616
160,5, 55360
160,6, 55360
160,7, 55360
160,8, 55360
160,9, 55360
161, 55360
161,1, 55360
161,2, 55360
161,3, 55360
161,4, 55360
161,5, 55360
161,6, 55360
161,7, 55360
161,8, 55360
161,9, 55360
162, 55360
162,1, 55360
162,2, 55360
162,3, 55360
162,4, 55360
162,5, 55744
162,6, 55744
162,7, 55744
162,8, 55744
162,9, 55744
163, 55744
163,1, 55744
163,2, 55744
163,3, 55744
163,4, 55744
163,5, 56576
163,6, 56576
163,7, 56576
163,8, 56576
163,9, 56576
164, 56576
164,1, 56576
164,2, 56576
164,3, 56576
164,4, 56576
164,5, 56384
164,6, 56384
164,7, 56384
164,8, 56384
164,9, 56384
165, 56384
165,1, 56384
165,2, 56384
165,3, 56384
165,4, 56384
165,5, 55744
165,6, 55744
165,7, 55744
165,8, 55744
165,9, 55744
166, 55744
166,1, 55744
166,2, 55744
166,3, 55744
166,4, 55744
166,5, 56640
166,6, 56640
166,7, 56640
166,8, 56640
166,9, 56640
167, 56640
167,1, 56640
167,2, 56640
167,3, 56640
167,4, 56640
167,5, 55680
167,6, 55680
167,7, 55680
167,8, 55680
167,9, 55680
168, 55680
168,1, 55680
168,2, 55680
168,3, 55680
168,4, 55680
168,5, 55872
168,6, 55872
168,7, 55872
168,8, 55872
168,9, 55872
169, 55872
169,1, 55872
169,2, 55872
169,3, 55872
169,4, 55872
169,5, 56256
169,6, 56256
169,7, 56256
169,8, 56256
169,9, 56256
170, 56256
170,1, 56256
170,2, 56256
170,3, 56256
170,4, 56256
170,5, 55552
170,6, 55552
170,7, 55552
170,8, 55552
170,9, 55552
171, 55552
171,1, 55552
171,2, 55552
171,3, 55552
171,4, 55552
171,5, 57280
171,6, 57280
171,7, 57280
171,8, 57280
171,9, 57280
172, 57280
172,1, 57280
172,2, 57280
172,3, 57280
172,4, 57280
172,5, 55744
172,6, 55744
172,7, 55744
172,8, 55744
172,9, 55744
173, 55744
173,1, 55744
173,2, 55744
173,3, 55744
173,4, 55744
173,5, 55936
173,6, 55936
173,7, 55936
173,8, 55936
173,9, 55936
174, 55936
174,1, 55936
174,2, 55936
174,3, 55936
174,4, 55936
174,5, 55680
174,6, 55680
174,7, 55680
174,8, 55680
174,9, 55680
175, 55680
175,1, 55680
175,2, 55680
175,3, 55680
175,4, 55680
175,5, 54848
175,6, 54848
175,7, 54848
175,8, 54848
175,9, 54848
176, 54848
176,1, 54848
176,2, 54848
176,3, 54848
176,4, 54848
176,5, 56768
176,6, 56768
176,7, 56768
176,8, 56768
176,9, 56768
177, 56768
177,1, 56768
177,2, 56768
177,3, 56768
177,4, 56768
177,5, 56768
177,6, 56704
177,7, 56704
177,8, 56704
177,9, 56704
178, 56704
178,1, 56704
178,2, 56704
178,3, 56704
178,4, 56704
178,5, 56704
178,6, 56768
178,7, 56768
