Pixels, Value
0, 4672
112,8, 56896
112,9, 56896
113, 56896
113,1, 56896
113,2, 57280
113,3, 57280
113,4, 57280
113,5, 57280
113,6, 57280
113,7, 57280
113,8, 57280
113,9, 57280
114, 57280
114,1, 57280
114,2, 57408
114,3, 57408
114,4, 57408
114,5, 57408
114,6, 57408
114,7, 57408
114,8, 57408
114,9, 57408
115, 57408
115,1, 57408
115,2, 56896
115,3, 56896
115,4, 56896
115,5, 56896
115,6, 56896
115,7, 56896
115,8, 56896
115,9, 56896
116, 56896
116,1, 56896
116,2, 57024
116,3, 57024
116,4, 57024
116,5, 57024
116,6, 57024
116,7, 57024
116,8, 57024
116,9, 57024
117, 57024
117,1, 57024
117,2, 57728
117,3, 57728
117,4, 57728
117,5, 57728
117,6, 57728
117,7, 57728
117,8, 57728
117,9, 57728
118, 57728
118,1, 57728
118,2, 55680
118,3, 55680
118,4, 55680
118,5, 55680
118,6, 55680
118,7, 55680
118,8, 55680
118,9, 55680
119, 55680
119,1, 55680
119,2, 57408
119,3, 57408
119,4, 57408
119,5, 57408
119,6, 57408
119,7, 57408
119,8, 57408
119,9, 57408
120, 57408
120,1, 57408
120,2, 56576
120,3, 56576
120,4, 56576
120,5, 56576
120,6, 56576
120,7, 56576
120,8, 56576
120,9, 56576
121, 56576
121,1, 56576
121,2, 56896
121,3, 56896
121,4, 56896
121,5, 56896
121,6, 56896
121,7, 56896
121,8, 56896
121,9, 56896
122, 56896
122,1, 56896
122,2, 56768
122,3, 56768
122,4, 56768
122,5, 56768
122,6, 56768
122,7, 56768
122,8, 56768
122,9, 56768
123, 56768
123,1, 56768
123,2, 56576
123,3, 56576
123,4, 56576
123,5, 56576
123,6, 56576
123,7, 56576
123,8, 56576
123,9, 56576
124, 56576
124,1, 56576
124,2, 56192
124,3, 56192
124,4, 56192
124,5, 56192
124,6, 56192
124,7, 56192
124,8, 56192
124,9, 56192
125, 56192
125,1, 56192
125,2, 57024
125,3, 57024
125,4, 57024
125,5, 57024
125,6, 57024
125,7, 57024
125,8, 57024
125,9, 57024
126, 57024
126,1, 57024
126,2, 55808
126,3, 55808
126,4, 55808
126,5, 55808
126,6, 55808
126,7, 55808
126,8, 55808
126,9, 55808
127, 55808
127,1, 55808
127,2, 56832
127,3, 56832
127,4, 56832
127,5, 56832
127,6, 56832
127,7, 56832
127,8, 56832
127,9, 56832
